Date,Open,High,Low,Close,Adj Close,Volume
2017-01-03,49.570000,49.849998,49.570000,49.790001,46.667377,1310200
2017-01-04,50.360001,50.970001,50.290001,50.840000,47.651524,1528800
2017-01-05,50.939999,51.450001,50.880001,51.220001,48.007694,2226300
2017-01-06,50.900002,51.009998,50.740002,50.869999,48.197186,1462300
2017-01-09,50.639999,50.939999,50.369999,50.660000,47.998219,1114200
2017-01-10,50.759998,50.959999,50.650002,50.740002,48.074017,915700
2017-01-11,50.650002,51.150002,50.450001,51.139999,48.452999,1461600
2017-01-12,51.299999,51.310001,50.820000,51.139999,48.452999,1252400
2017-01-13,51.250000,51.450001,51.110001,51.150002,48.462475,1190600
2017-01-17,51.209999,51.270000,50.779999,50.860001,48.187706,1497800
2017-01-18,50.790001,50.970001,50.110001,50.270000,47.628708,1292700
2017-01-19,50.180000,50.270000,49.970001,50.060001,47.429741,1117000
2017-01-20,50.130001,50.630001,49.939999,50.610001,47.950848,1364700
2017-01-23,50.590000,50.840000,50.310001,50.779999,48.111916,840400
2017-01-24,50.820000,51.410000,50.639999,51.369999,48.670914,1605300
2017-01-25,51.630001,52.200001,51.630001,52.080002,49.343609,1265500
2017-01-26,52.209999,52.240002,51.919998,52.189999,49.447823,1064700
2017-01-27,52.250000,52.320000,51.750000,51.900002,49.173069,1156600
2017-01-30,51.669998,51.990002,51.509998,51.759998,49.040424,1429800
2017-01-31,51.919998,52.180000,51.389999,51.770000,49.049896,1443000
2017-02-01,51.810001,51.959999,51.380001,51.660000,48.945675,1360400
2017-02-02,51.750000,51.799999,51.459999,51.580002,48.869884,1112500
2017-02-03,51.869999,52.150002,51.700001,51.830002,49.106743,1336300
2017-02-06,51.580002,51.700001,51.380001,51.529999,48.822506,1024100
2017-02-07,51.320000,51.450001,51.230000,51.320000,48.623539,1140100
2017-02-08,51.320000,51.520000,50.919998,51.520000,48.813034,1245700
2017-02-09,51.700001,51.990002,51.590000,51.910000,49.182541,1356200
2017-02-10,52.230000,52.299999,52.119999,52.169998,49.428883,1192700
2017-02-13,52.360001,52.470001,52.250000,52.349998,49.599422,1389400
2017-02-14,52.480000,52.599998,52.259998,52.470001,49.713120,1329400
2017-02-15,52.430000,52.900002,52.410000,52.900002,50.120529,1267800
2017-02-16,53.020000,53.180000,52.930000,52.970001,50.186852,1483400
2017-02-17,52.869999,53.070000,52.560001,53.029999,50.243694,1089300
2017-02-21,52.959999,53.220001,52.849998,53.099998,50.310017,2162600
2017-02-22,52.939999,53.740002,52.900002,53.669998,50.850067,2598500
2017-02-23,53.939999,54.439999,53.480000,53.540001,50.726894,2181200
